Date,City,Latitude,Longitude,Crime_Type,Daily_Incidents,Investigation_Status
2025-01-01,Mumbai,19.087771241673156,72.82999189771591,Fraud,17,Open
2025-01-01,Delhi,28.705007430061364,77.07950249041252,Assault,6,Open
2025-01-01,Bengaluru,12.955726453499052,77.58144761884311,Vandalism,4,Open
2025-01-01,Chennai,13.079651856530104,80.23447374067428,Assault,1,Resolved
2025-01-01,Kolkata,22.541518932490224,88.35571494772029,Assault,6,Open
2025-01-01,Hyderabad,17.392394834471876,78.49581987027612,Fraud,9,Open
2025-01-01,Ahmedabad,23.01687104841009,72.60618472478173,Fraud,16,Under Investigation
2025-01-01,Jaipur,26.880292805407716,75.8178827593462,Assault,16,Open
2025-01-01,Lucknow,26.88437648056036,80.95136268341116,Assault,5,Open
2025-01-01,Bhopal,23.27788854743548,77.37014526444008,Theft,2,Resolved
2025-01-02,Mumbai,19.08520393506791,72.86321608784479,Vandalism,11,Under Investigation
2025-01-02,Delhi,28.66080987536507,77.09693071204967,Burglary,4,Resolved
2025-01-02,Bengaluru,12.992489425031025,77.63853816705252,Theft,16,Under Investigation
2025-01-02,Chennai,13.09953127470578,80.27269724569281,Theft,9,Under Investigation
2025-01-02,Kolkata,22.582655257386598,88.3382468497896,Burglary,13,Open
2025-01-02,Hyderabad,17.384393366583804,78.50301443609018,Assault,1,Resolved
2025-01-02,Ahmedabad,23.010147207470762,72.55461309483825,Assault,5,Under Investigation
2025-01-02,Jaipur,26.88510420099323,75.81603234905603,Assault,15,Open
2025-01-02,Lucknow,26.83809773620514,80.95053398821855,Vandalism,0,Resolved
2025-01-02,Bhopal,23.229965491320367,77.42840405731525,Vandalism,3,Under Investigation
2025-01-03,Mumbai,19.046384973606358,72.86562459160653,Theft,0,Resolved
2025-01-03,Delhi,28.659944936058046,77.07146299479959,Burglary,6,Under Investigation
2025-01-03,Bengaluru,12.97956020040114,77.54998638823993,Vandalism,15,Under Investigation
