Date,Location,StationCode,State,Latitude,Longitude,pH,WQI,DO,BOD,Safety_Status,Turbidity_NTU
2025-01-01,Mumbai Reservoir,W_MUM,Mumbai,19.06553876784076,72.86547285056163,7.4,88.8,8.4,5.4,Safe,6.3
2025-01-01,Delhi Reservoir,W_DEL,Delhi,28.70233545786283,77.14935640965842,6.6,28.5,9.4,1.6,Safe,13.4
2025-01-01,Bengaluru Reservoir,W_BEN,Bengaluru,12.994783597723101,77.60547809220678,7.3,53.2,6.9,5.1,Unsafe,10.9
2025-01-01,Chennai Reservoir,W_CHE,Chennai,13.127123160681474,80.26511888740423,8.1,35.3,5.7,6.8,Safe,1.6
2025-01-01,Kolkata Reservoir,W_KOL,Kolkata,22.569409397141474,88.38925798414375,7.0,41.1,5.1,1.7,Unsafe,7.2
2025-01-01,Hyderabad Reservoir,W_HYD,Hyderabad,17.34402421018173,78.5143696473524,7.2,82.7,8.2,7.1,Unsafe,6.4
2025-01-01,Ahmedabad Reservoir,W_AHM,Ahmedabad,22.975163143784833,72.59885409137392,7.3,75.8,9.6,1.1,Moderate,6.2
2025-01-01,Jaipur Reservoir,W_JAI,Jaipur,26.961706305392866,75.79926746074985,8.0,79.0,7.2,6.0,Safe,11.8
2025-01-01,Lucknow Reservoir,W_LUC,Lucknow,26.842582003572986,80.98753139869457,7.3,92.6,6.4,4.0,Safe,12.5
2025-01-01,Bhopal Reservoir,W_BHO,Bhopal,23.258979134059853,77.43177254967098,6.9,86.2,8.9,7.3,Unsafe,7.5
2025-01-02,Mumbai Reservoir,W_MUM,Mumbai,19.04899661197239,72.85109694889573,7.2,94.7,8.2,2.4,Unsafe,12.5
2025-01-02,Delhi Reservoir,W_DEL,Delhi,28.686056887187828,77.09798785446306,8.2,46.1,7.2,1.2,Safe,14.2
2025-01-02,Bengaluru Reservoir,W_BEN,Bengaluru,12.98002146582862,77.6359067975056,7.1,76.1,6.2,6.1,Safe,9.2
2025-01-02,Chennai Reservoir,W_CHE,Chennai,13.10301347350522,80.23469852833853,7.4,75.9,5.6,4.6,Unsafe,9.8
2025-01-02,Kolkata Reservoir,W_KOL,Kolkata,22.52605784037991,88.41100813916738,8.3,47.2,4.3,6.7,Moderate,14.4
2025-01-02,Hyderabad Reservoir,W_HYD,Hyderabad,17.3682821162484,78.53428105375747,7.5,91.7,5.1,1.3,Safe,4.3
2025-01-02,Ahmedabad Reservoir,W_AHM,Ahmedabad,23.052398664328805,72.58777221577793,8.1,36.3,6.9,2.2,Moderate,8.7
2025-01-02,Jaipur Reservoir,W_JAI,Jaipur,26.944773411364434,75.78220234420431,6.6,56.1,7.0,6.8,Safe,10.4
2025-01-02,Lucknow Reservoir,W_LUC,Lucknow,26.85902993368922,80.99047264364687,7.3,85.5,9.4,3.1,Safe,12.1
2025-01-02,Bhopal Reservoir,W_BHO,Bhopal,23.30634943173309,77.45616324396588,6.7,87.9,9.4,1.7,Moderate,12.7
2025-01-03,Mumbai Reservoir,W_MUM,Mumbai,19.052085731178362,72.83866568104878,7.0,98.4,9.2,2.1,Moderate,8.2
2025-01-03,Delhi Reservoir,W_DEL,Delhi,28.706690631217015,77.1390028019994,6.9,65.6,7.1,3.9,Moderate,14.9
2025-01-03,Bengaluru Reservoir,W_BEN,Bengaluru,13.000752146992923,77.56689956815279,8.0,20.0,7.7,7.4,Moderate,9.9
2025-01-03,Chennai Reservoir,W_CHE,Chennai,13.066206906633324,80.23670539681726,7.7,86.1,6.6,3.1,Unsafe,4.3
2025-01-03,Kolkata Reservoir,W_KOL,Kolkata,22.619391009143854,88.3919286105718,7.8,81.6,5.8,1.2,Moderate,6.8
2025-01-03,Hyderabad Reservoir,W_HYD,Hyderabad,17.351831675781384,78.4648500957504,6.5,60.3,9.3,5.1,Unsafe,12.9
2025-01-03,Ahmedabad Reservoir,W_AHM,Ahmedabad,23.05716514957669,72.61909642596976,7.0,15.7,9.4,5.8,Unsafe,12.2
2025-01-03,Jaipur Reservoir,W_JAI,Jaipur,26.914884244529066,75.80341900879466,7.1,97.9,5.0,1.5,Safe,5.7
2025-01-03,Lucknow Reservoir,W_LUC,Lucknow,26.819205699455686,80.89794559210979,7.2,17.0,8.5,1.4,Safe,12.1
2025-01-03,Bhopal Reservoir,W_BHO,Bhopal,23.254961215113113,77.39670009202348,6.9,22.0,4.6,6.4,Unsafe,4.7
2025-01-04,Mumbai Reservoir,W_MUM,Mumbai,19.0878617615451,72.86162269715504,8.2,30.1,6.0,4.4,Safe,9.1
2025-01-04,Delhi Reservoir,W_DEL,Delhi,28.669074116159273,77.06351430842562,7.9,23.3,4.6,4.2,Safe,8.3
2025-01-04,Bengaluru Reservoir,W_BEN,Bengaluru,12.976410149930237,77.64068737609816,6.9,86.3,9.3,4.9,Moderate,1.2
2025-01-04,Chennai Reservoir,W_CHE,Chennai,13.074173488343842,80.23544394971856,7.9,19.7,5.7,3.9,Unsafe,12.8
